"","X","year","month","date","home","h_points","away","a_points","winner","win_status","winning_margin","home_id","away_id","h_avg_points","a_avg_points","h_avg_fg","a_avg_fg","h_avg_fga","a_avg_fga","h_avg_3p","a_avg_3p","h_avg_3pa","a_avg_3pa","h_avg_ft","a_avg_ft","h_avg_orb","a_avg_orb","h_avg_drb","a_avg_drb","h_avg_ast","a_avg_ast","h_avg_stl","a_avg_stl","h_avg_blk","a_avg_blk","h_avg_tov","a_avg_tov","h_avg_pf","a_avg_pf","h_avg_tsp","a_avg_tsp","h_avg_ortg","a_avg_ortg","h_avg_drtg","a_avg_drtg","h_win_perc","a_win_perc","h_back","a_back"
"793",151,2016,"11",27," POR",114," HOU",130," HOU","Away",16," POR16"," HOU17",107.866666666667,108.133333333333,39.1333333333333,39.0666666666667,86.6,84.9333333333333,10.8,14.2666666666667,29.6666666666667,37.6,18.8,15.7333333333333,9.46666666666667,11.4666666666667,33.2666666666667,33,21.3333333333333,24.4,6.13333333333333,6.93333333333333,4.4,5,13.4666666666667,16.2,22.0666666666667,19.9333333333333,0.559733333333333,0.5756,109.78,112.973333333333,113.946666666667,108.66,0.466666666666667,0.666666666666667,0,0
"17",152,2016,"11",27," LAL",109," ATL",94," LAL","Home",15," LAL18"," ATL17",108.666666666667,101.333333333333,40.3333333333333,38,87.0666666666667,83.3333333333333,9.6,8.33333333333333,26.3333333333333,25.3333333333333,18.4,17,10.4666666666667,10.3333333333333,32.8666666666667,34.6666666666667,22.4666666666667,23.4666666666667,8.66666666666667,9.33333333333333,3.53333333333333,5.4,15.6,16.6666666666667,20.6666666666667,17.1333333333333,0.5606,0.538866666666667,108.646666666667,102.853333333333,112.76,100.113333333333,0.466666666666667,0.6,0,0
"1489",153,2016,"11",28," NYK",103," OKC",112," OKC","Away",9," NYK16"," OKC16",102.666666666667,104.4,39.6,39.4666666666667,88.6,86.4666666666667,8.73333333333333,8.73333333333333,24.9333333333333,25.2666666666667,14.7333333333333,16.7333333333333,11.8,10.2,33.1333333333333,34.2666666666667,21.8666666666667,21.6666666666667,7.26666666666667,7.26666666666667,5.13333333333333,5.26666666666667,13.6,14.6666666666667,21.8666666666667,20.4,0.5302,0.541066666666667,107.38,106.913333333333,110.48,105.34,0.466666666666667,0.533333333333333,0,0
"1339",156,2016,"11",28," MIN",103," UTA",112," UTA","Away",9," MIN17"," UTA18",103.4,96.2,37.6,35.6666666666667,83.4,78.7333333333333,8.66666666666667,9,24.2,26.2666666666667,19.5333333333333,15.8666666666667,11.5333333333333,7.86666666666667,30.2666666666667,36.2666666666667,21.6,18,8.46666666666667,6.13333333333333,4.86666666666667,5.06666666666667,14.6,12.0666666666667,21.6666666666667,20.2,0.546866666666667,0.546866666666667,108.526666666667,105.806666666667,108.766666666667,101.133333333333,0.333333333333333,0.533333333333333,0,0
"18",157,2016,"11",28," GSW",105," ATL",100," GSW","Home",5," GSW18"," ATL18",119.333333333333,100.666666666667,44,37.8,86.3333333333333,83.5333333333333,12.6666666666667,8.8,31.4666666666667,26.3333333333333,18.6666666666667,16.2666666666667,9.2,10.4,35.1333333333333,34,31.9333333333333,23.0666666666667,9.6,8.93333333333333,6.66666666666667,5.33333333333333,14.6,16.6666666666667,19.4666666666667,17.4666666666667,0.617666666666667,0.536333333333333,119.826666666667,102.56,103.413333333333,103,0.933333333333333,0.533333333333333,0,1
"328",158,2016,"11",29," CHO",89," DET",112," DET","Away",23," CHO16"," DET19",104.666666666667,97.2,37.4,37.9333333333333,84.8666666666667,86.2666666666667,10.1333333333333,6.33333333333333,28.0666666666667,19.1333333333333,19.7333333333333,15,8.86666666666667,9.33333333333333,36.2,33,23.8,20,6.8,7,5.33333333333333,4.06666666666667,10.9333333333333,10.2666666666667,16.8666666666667,17.3333333333333,0.5432,0.513,108.173333333333,104.44,103.94,105.646666666667,0.666666666666667,0.4,1,0
"1645",160,2016,"11",29," SAS",83," ORL",95," ORL","Away",12," SAS18"," ORL18",102.933333333333,92.5333333333333,37.2666666666667,35,80.2666666666667,84.2,8.86666666666667,8,22.4,25.5333333333333,19.5333333333333,14.5333333333333,8.2,10.6,32.8,34.7333333333333,22.9333333333333,20.4,7.33333333333333,5.93333333333333,6.06666666666667,6,11.9333333333333,13.4666666666667,17.6666666666667,18.0666666666667,0.568666666666667,0.4962,111.186666666667,98.9466666666667,106.773333333333,104.433333333333,0.8,0.4,0,0
"794",161,2016,"11",29," UTA",120," HOU",101," UTA","Home",19," UTA19"," HOU18",98.6666666666667,109.733333333333,36.4,39.9333333333333,79.1333333333333,85.7333333333333,8.8,14.4,26.2,37.8666666666667,17.0666666666667,15.4666666666667,8.2,11.6,35.8666666666667,32.5333333333333,18.0666666666667,24.7333333333333,6.2,7,5.13333333333333,5.46666666666667,11.6666666666667,15.7333333333333,20.1333333333333,20,0.554866666666667,0.579266666666667,108.24,114.273333333333,101.933333333333,109.44,0.6,0.666666666666667,1,0
"94",162,2016,"11",30," BOS",114," DET",121," DET","Away",7," BOS18"," DET20",103.666666666667,97.8666666666667,38.1333333333333,38.2,86.4666666666667,86.4666666666667,11.2666666666667,6.6,31,20.1333333333333,16.1333333333333,14.8666666666667,9.86666666666667,9.26666666666667,32.9333333333333,32.8,23.8,20.1333333333333,6.86666666666667,7,4.26666666666667,4,11.7333333333333,10.3333333333333,21.3333333333333,17.5333333333333,0.5422,0.516933333333333,108.54,105.113333333333,107.366666666667,105.626666666667,0.6,0.4,0,1
"1107",163,2016,"11",30," TOR",120," MEM",105," TOR","Home",15," TOR17"," MEM16",108.866666666667,95.9333333333333,39.4,34.6,84.6,80.6,8.93333333333333,7.86666666666667,23.5333333333333,24.5333333333333,21.1333333333333,18.8666666666667,10.9333333333333,9.4,30.8,32,19.2666666666667,19.2,9.13333333333333,7.4,5,5.66666666666667,11.2666666666667,13.3333333333333,21.6,23.8,0.568666666666667,0.527133333333333,115.686666666667,104.613333333333,111.213333333333,106.046666666667,0.6,0.533333333333333,0,0
