"","X","year","month","date","home","h_points","away","a_points","winner","win_status","winning_margin","home_id","away_id","h_avg_points","a_avg_points","h_avg_fg","a_avg_fg","h_avg_fga","a_avg_fga","h_avg_3p","a_avg_3p","h_avg_3pa","a_avg_3pa","h_avg_ft","a_avg_ft","h_avg_orb","a_avg_orb","h_avg_drb","a_avg_drb","h_avg_ast","a_avg_ast","h_avg_stl","a_avg_stl","h_avg_blk","a_avg_blk","h_avg_tov","a_avg_tov","h_avg_pf","a_avg_pf","h_avg_tsp","a_avg_tsp","h_avg_ortg","a_avg_ortg","h_avg_drtg","a_avg_drtg","h_win_perc","a_win_perc","h_back","a_back"
"16",149,2018,"11",17," IND",97," ATL",89," IND","Home",8," IND16"," ATL16",105.266666666667,107.8,40.6,39.2,84.4,88.6,9.33333333333333,11.6666666666667,24.7333333333333,35.5333333333333,14.7333333333333,17.7333333333333,7.8,9.86666666666667,32.9333333333333,34.2,22.2,24.3333333333333,8.8,8.26666666666667,5.4,5.6,13.8666666666667,18,19.6,23.2666666666667,0.564733333333333,0.543733333333333,108.86,102.506666666667,105.553333333333,113.02,0.6,0.2,1,0
"1490",157,2018,"11",18," ORL",131," NYK",117," ORL","Home",14," ORL17"," NYK16",106.133333333333,106.733333333333,40.8666666666667,39.8,90.4,90.5333333333333,11.2666666666667,9.4,32.2666666666667,29.4666666666667,13.1333333333333,17.7333333333333,9.73333333333333,11.7333333333333,32.8666666666667,32.5333333333333,26,18.6666666666667,7.66666666666667,7.86666666666667,6.06666666666667,4.93333333333333,12.8666666666667,14.4,20.2,23.0666666666667,0.544066666666667,0.529666666666667,107.593333333333,106.606666666667,111.04,113.326666666667,0.466666666666667,0.266666666666667,1,0
"1569",163,2018,"11",19," SAC",117," OKC",113," SAC","Home",4," SAC17"," OKC16",113.466666666667,110.933333333333,43.4,41.1333333333333,91.2,91.4666666666667,10.7333333333333,9.53333333333333,28.2666666666667,30.4,15.9333333333333,19.1333333333333,10.2666666666667,13.2,34.8666666666667,33.9333333333333,24.8666666666667,21.2666666666667,8.66666666666667,11.2666666666667,4.6,5.73333333333333,15.1333333333333,14.2666666666667,22.6666666666667,22.8666666666667,0.558466666666667,0.538733333333333,107.98,109.593333333333,110.346666666667,104.213333333333,0.533333333333333,0.666666666666667,0,0
"173",165,2018,"11",20," MIA",92," BRK",104," BRK","Away",12," MIA16"," BRK17",108.6,109.933333333333,38.9333333333333,39.9333333333333,88.5333333333333,89.6,12.2666666666667,12.8,33.1333333333333,34.3333333333333,18.4666666666667,17.2666666666667,12,12.3333333333333,35.4666666666667,31.3333333333333,22.3333333333333,23.1333333333333,6.4,6.93333333333333,6.53333333333333,4.4,15.8,13.3333333333333,23.5333333333333,23.1333333333333,0.545866666666667,0.551066666666667,108.06,111.966666666667,109.88,113.446666666667,0.333333333333333,0.4,0,0
"1491",166,2018,"11",20," NYK",114," POR",118," POR","Away",4," NYK17"," POR16",106.133333333333,114.266666666667,39.4666666666667,41.3333333333333,89.7333333333333,89,9.13333333333333,11.6,28.8666666666667,31.3333333333333,18.0666666666667,20,12.2,11.3333333333333,31.8,39,18.0666666666667,20.6,7.53333333333333,5.86666666666667,4.66666666666667,4.73333333333333,14.3333333333333,14.1333333333333,23.2666666666667,20.7333333333333,0.530466666666667,0.577,107.126666666667,114.893333333333,115.906666666667,107.133333333333,0.2,0.733333333333333,0,0
"1413",167,2018,"11",21," PHI",121," NOP",120," PHI","Home",1," PHI16"," NOP18",110.533333333333,116.8,38.4,43.6666666666667,85.8,91.7333333333333,11,9.4,30.8,27.6,22.7333333333333,20.0666666666667,10.3333333333333,11.6,37.6,35.6,25.4,26.4,6.73333333333333,6.86666666666667,4.73333333333333,6.13333333333333,16.0666666666667,14.6666666666667,23.5333333333333,22.7333333333333,0.5604,0.565533333333333,107.78,112.833333333333,107.193333333333,112.206666666667,0.666666666666667,0.533333333333333,0,0
"247",168,2018,"11",21," CHI",124," PHO",116," CHI","Home",8," CHI16"," PHO16",101.933333333333,102.4,38.0666666666667,37.8666666666667,86.5333333333333,82.5333333333333,10.0666666666667,10.6666666666667,28.6,30.6666666666667,15.7333333333333,16,7.13333333333333,7.93333333333333,33.8666666666667,31.8,21.6666666666667,23.6666666666667,7.6,7.26666666666667,4.6,3.6,15.0666666666667,17.3333333333333,20.0666666666667,24.8666666666667,0.534333333333333,0.5614,101.413333333333,103.46,112.84,114.22,0.2,0.2,0,0
"401",169,2018,"11",21," CLE",105," LAL",109," LAL","Away",4," CLE16"," LAL16",103.266666666667,115,38.8,44.0666666666667,86.4,92.6666666666667,8.2,10.7333333333333,23.0666666666667,29.7333333333333,17.4666666666667,16.1333333333333,11.9333333333333,10.8666666666667,31.8,34.8,19.9333333333333,24.6,7.6,9.06666666666667,2.66666666666667,6.06666666666667,15.0666666666667,15,21.7333333333333,21,0.5368,0.562266666666667,106.08,111.04,115.02,109.453333333333,0.133333333333333,0.6,0,0
"174",171,2018,"11",21," DAL",119," BRK",113," DAL","Home",6," DAL16"," BRK18",109.466666666667,109.733333333333,39.1333333333333,40,85.4666666666667,90.4666666666667,11.8666666666667,12.5333333333333,33.3333333333333,34.4,19.3333333333333,17.2,9.66666666666667,12.4,34.7333333333333,31.1333333333333,23.0666666666667,22.8,7.06666666666667,7.2,5.06666666666667,4.26666666666667,15.9333333333333,12.6,21.6666666666667,23,0.567533333333333,0.544266666666667,109.473333333333,111.46,108.32,112.26,0.466666666666667,0.4,0,1
"1954",172,2018,"11",21," UTA",110," SAC",119," SAC","Away",9," UTA18"," SAC18",103.733333333333,112.666666666667,37.3333333333333,43.0666666666667,82.5333333333333,91.6,9.73333333333333,11.1333333333333,31.2666666666667,29.1333333333333,19.3333333333333,15.4,9.46666666666667,10.6,32.7333333333333,35.8666666666667,23.4666666666667,25.2,8.2,8.73333333333333,5.73333333333333,4.73333333333333,14.9333333333333,15.2666666666667,23.2,22.1333333333333,0.5472,0.554066666666667,105.666666666667,107.333333333333,109.086666666667,108.26,0.466666666666667,0.6,0,0
"175",173,2018,"11",23," BRK",102," MIN",112," MIN","Away",10," BRK19"," MIN19",109.8,105.933333333333,40.0666666666667,38.8,91,90.8,12.4,11.1333333333333,34.7333333333333,31,17.2666666666667,17.2,12.8666666666667,11.3333333333333,30.8,33.3333333333333,22.6666666666667,23,7.33333333333333,9.4,4,5.8,12.2,14.1333333333333,23.8666666666667,18.7333333333333,0.541733333333333,0.531133333333333,111.786666666667,105.753333333333,111.686666666667,111.013333333333,0.4,0.4,0,0
"1414",174,2018,"11",23," NYK",114," NOP",109," NYK","Home",5," NYK19"," NOP19",107.8,117.066666666667,40.2,43.8,88.9333333333333,92.0666666666667,9.6,9.73333333333333,28.6,28,17.8,19.7333333333333,11.9333333333333,12.1333333333333,32.6666666666667,35.4666666666667,18.7333333333333,26.5333333333333,7.06666666666667,6.6,5.6,6.13333333333333,15.2,15.1333333333333,22.9333333333333,22.5333333333333,0.544733333333333,0.566133333333333,108.46,112.813333333333,116.72,112.7,0.266666666666667,0.466666666666667,0,0
"1258",175,2018,"11",23," MIL",114," PHO",116," PHO","Away",2," MIL17"," PHO17",121.666666666667,102.066666666667,45.1333333333333,38.1333333333333,92.1333333333333,83.6666666666667,14.7333333333333,10.0666666666667,40.3333333333333,30.6666666666667,16.6666666666667,15.7333333333333,10.2666666666667,7.93333333333333,41.1333333333333,31.2666666666667,26.8666666666667,23.2,6.8,7.53333333333333,6.13333333333333,3.8,14.6,17.4666666666667,20.3333333333333,24.7333333333333,0.5992,0.553333333333333,117.206666666667,102.106666666667,103.586666666667,114.88,0.8,0.133333333333333,0,0
"561",176,2018,"11",23," DEN",112," ORL",87," DEN","Home",25," DEN18"," ORL19",109.866666666667,107.4,41.9333333333333,41.2,88.9333333333333,89.3333333333333,10.8,11.2,31.1333333333333,32.4,15.2,13.8,11.4666666666667,9.2,33,32.8,26.4666666666667,26.6666666666667,8.73333333333333,7.33333333333333,4.2,5.8,13.7333333333333,12.8666666666667,21.0666666666667,20.6,0.560133333333333,0.554933333333333,112.88,108.92,108.506666666667,109.366666666667,0.533333333333333,0.533333333333333,0,0
"717",177,2018,"11",23," GSW",125," POR",97," GSW","Home",28," GSW19"," POR18",116.466666666667,112.2,43.2666666666667,40.6666666666667,87.3333333333333,89.2666666666667,11.7333333333333,11.4,29.8666666666667,31.8,18.2,19.4666666666667,9.53333333333333,11.4666666666667,35.6,37.7333333333333,28.7333333333333,20.1333333333333,7.2,6,6,4.53333333333333,13.6666666666667,14.1333333333333,21.6,20.6666666666667,0.597733333333333,0.565533333333333,116.8,112.806666666667,111.7,108.813333333333,0.666666666666667,0.666666666666667,0,0
"403",178,2018,"11",24," CLE",117," HOU",108," CLE","Home",9," CLE18"," HOU17",103.2,106.266666666667,39.4,37.2,87.5333333333333,84.3333333333333,8.8,14.1333333333333,24,41.5333333333333,15.6,17.7333333333333,12.0666666666667,10.4666666666667,31.4,30.6,19.3333333333333,20.2666666666667,7.66666666666667,8.4,2.73333333333333,6.13333333333333,13.8,13.6666666666667,21.6,22.9333333333333,0.5366,0.564466666666667,107.44,110.933333333333,114.693333333333,109.78,0.2,0.6,1,0
"249",179,2018,"11",24," MIN",111," CHI",96," MIN","Home",15," MIN20"," CHI18",106.666666666667,101.666666666667,39.3333333333333,37.6,91.2666666666667,85.6666666666667,11.2666666666667,10.0666666666667,30.4666666666667,28.5333333333333,16.7333333333333,16.4,11.4,7.46666666666667,32.6666666666667,34.2,23.0666666666667,21.4666666666667,9.8,8.13333333333333,5.26666666666667,4.53333333333333,13.6,15.8,18.9333333333333,20,0.533466666666667,0.537466666666667,106.773333333333,101.06,112.006666666667,111.126666666667,0.4,0.266666666666667,1,1
