"","win_status","h_avg_points","a_avg_points","h_avg_fg","a_avg_fg","h_avg_fga","a_avg_fga","h_avg_3p","a_avg_3p","h_avg_3pa","a_avg_3pa","h_avg_ft","a_avg_ft","h_avg_orb","a_avg_orb","h_avg_drb","a_avg_drb","h_avg_ast","a_avg_ast","h_avg_stl","a_avg_stl","h_avg_blk","a_avg_blk","h_avg_tov","a_avg_tov","h_avg_pf","a_avg_pf","h_avg_tsp","a_avg_tsp","h_avg_ortg","a_avg_ortg","h_avg_drtg","a_avg_drtg","h_win_perc","a_win_perc","h_back","a_back","gameid_cr","home_elo","away_elo"
"1","Home",105.266666666667,107.8,40.6,39.2,84.4,88.6,9.33333333333333,11.6666666666667,24.7333333333333,35.5333333333333,14.7333333333333,17.7333333333333,7.8,9.86666666666667,32.9333333333333,34.2,22.2,24.3333333333333,8.8,8.26666666666667,5.4,5.6,13.8666666666667,18,19.6,23.2666666666667,0.564733333333333,0.543733333333333,108.86,102.506666666667,105.553333333333,113.02,0.6,0.2,1,0,"INDATL1117",1565.48659476467,1330.96360655788
"2","Home",106.133333333333,106.733333333333,40.8666666666667,39.8,90.4,90.5333333333333,11.2666666666667,9.4,32.2666666666667,29.4666666666667,13.1333333333333,17.7333333333333,9.73333333333333,11.7333333333333,32.8666666666667,32.5333333333333,26,18.6666666666667,7.66666666666667,7.86666666666667,6.06666666666667,4.93333333333333,12.8666666666667,14.4,20.2,23.0666666666667,0.544066666666667,0.529666666666667,107.593333333333,106.606666666667,111.04,113.326666666667,0.466666666666667,0.266666666666667,1,0,"ORLNYK1118",1411.30094704794,1368.4673953598
"3","Home",113.466666666667,110.933333333333,43.4,41.1333333333333,91.2,91.4666666666667,10.7333333333333,9.53333333333333,28.2666666666667,30.4,15.9333333333333,19.1333333333333,10.2666666666667,13.2,34.8666666666667,33.9333333333333,24.8666666666667,21.2666666666667,8.66666666666667,11.2666666666667,4.6,5.73333333333333,15.1333333333333,14.2666666666667,22.6666666666667,22.8666666666667,0.558466666666667,0.538733333333333,107.98,109.593333333333,110.346666666667,104.213333333333,0.533333333333333,0.666666666666667,0,0,"SACOKC1119",1442.27472322039,1587.71025202248
"4","Away",108.6,109.933333333333,38.9333333333333,39.9333333333333,88.5333333333333,89.6,12.2666666666667,12.8,33.1333333333333,34.3333333333333,18.4666666666667,17.2666666666667,12,12.3333333333333,35.4666666666667,31.3333333333333,22.3333333333333,23.1333333333333,6.4,6.93333333333333,6.53333333333333,4.4,15.8,13.3333333333333,23.5333333333333,23.1333333333333,0.545866666666667,0.551066666666667,108.06,111.966666666667,109.88,113.446666666667,0.333333333333333,0.4,0,0,"MIABRK1120",1456.24047193984,1456.01438892842
"5","Away",106.133333333333,114.266666666667,39.4666666666667,41.3333333333333,89.7333333333333,89,9.13333333333333,11.6,28.8666666666667,31.3333333333333,18.0666666666667,20,12.2,11.3333333333333,31.8,39,18.0666666666667,20.6,7.53333333333333,5.86666666666667,4.66666666666667,4.73333333333333,14.3333333333333,14.1333333333333,23.2666666666667,20.7333333333333,0.530466666666667,0.577,107.126666666667,114.893333333333,115.906666666667,107.133333333333,0.2,0.733333333333333,0,0,"NYKPOR1120",1361.41955321295,1609.02783721636
"6","Home",110.533333333333,116.8,38.4,43.6666666666667,85.8,91.7333333333333,11,9.4,30.8,27.6,22.7333333333333,20.0666666666667,10.3333333333333,11.6,37.6,35.6,25.4,26.4,6.73333333333333,6.86666666666667,4.73333333333333,6.13333333333333,16.0666666666667,14.6666666666667,23.5333333333333,22.7333333333333,0.5604,0.565533333333333,107.78,112.833333333333,107.193333333333,112.206666666667,0.666666666666667,0.533333333333333,0,0,"PHINOP1121",1583.77789500066,1587.44127655575
"7","Home",101.933333333333,102.4,38.0666666666667,37.8666666666667,86.5333333333333,82.5333333333333,10.0666666666667,10.6666666666667,28.6,30.6666666666667,15.7333333333333,16,7.13333333333333,7.93333333333333,33.8666666666667,31.8,21.6666666666667,23.6666666666667,7.6,7.26666666666667,4.6,3.6,15.0666666666667,17.3333333333333,20.0666666666667,24.8666666666667,0.534333333333333,0.5614,101.413333333333,103.46,112.84,114.22,0.2,0.2,0,0,"CHIPHO1121",1331.23651348751,1302.23008842709
"8","Away",103.266666666667,115,38.8,44.0666666666667,86.4,92.6666666666667,8.2,10.7333333333333,23.0666666666667,29.7333333333333,17.4666666666667,16.1333333333333,11.9333333333333,10.8666666666667,31.8,34.8,19.9333333333333,24.6,7.6,9.06666666666667,2.66666666666667,6.06666666666667,15.0666666666667,15,21.7333333333333,21,0.5368,0.562266666666667,106.08,111.04,115.02,109.453333333333,0.133333333333333,0.6,0,0,"CLELAL1121",1431.16136427482,1526.11221610172
"9","Home",109.466666666667,109.733333333333,39.1333333333333,40,85.4666666666667,90.4666666666667,11.8666666666667,12.5333333333333,33.3333333333333,34.4,19.3333333333333,17.2,9.66666666666667,12.4,34.7333333333333,31.1333333333333,23.0666666666667,22.8,7.06666666666667,7.2,5.06666666666667,4.26666666666667,15.9333333333333,12.6,21.6666666666667,23,0.567533333333333,0.544266666666667,109.473333333333,111.46,108.32,112.26,0.466666666666667,0.4,0,1,"DALBRK1121",1448.25247403677,1472.21631824317
"10","Away",103.733333333333,112.666666666667,37.3333333333333,43.0666666666667,82.5333333333333,91.6,9.73333333333333,11.1333333333333,31.2666666666667,29.1333333333333,19.3333333333333,15.4,9.46666666666667,10.6,32.7333333333333,35.8666666666667,23.4666666666667,25.2,8.2,8.73333333333333,5.73333333333333,4.73333333333333,14.9333333333333,15.2666666666667,23.2,22.1333333333333,0.5472,0.554066666666667,105.666666666667,107.333333333333,109.086666666667,108.26,0.466666666666667,0.6,0,0,"UTASAC1121",1559.30401506568,1449.69104329634
