"","win_status","h_avg_points","a_avg_points","h_avg_fg","a_avg_fg","h_avg_fga","a_avg_fga","h_avg_3p","a_avg_3p","h_avg_3pa","a_avg_3pa","h_avg_ft","a_avg_ft","h_avg_orb","a_avg_orb","h_avg_drb","a_avg_drb","h_avg_ast","a_avg_ast","h_avg_stl","a_avg_stl","h_avg_blk","a_avg_blk","h_avg_tov","a_avg_tov","h_avg_pf","a_avg_pf","h_avg_tsp","a_avg_tsp","h_avg_ortg","a_avg_ortg","h_avg_drtg","a_avg_drtg","h_win_perc","a_win_perc","h_back","a_back","gameid_cr","home_elo","away_elo"
"566","Away",115.4,105.2,41.8666666666667,41.6666666666667,85.3333333333333,90.8,12.5333333333333,9.46666666666667,30.9333333333333,27.4,19.1333333333333,12.4,8.26666666666667,10.2,34.0666666666667,34.2666666666667,22.9333333333333,24.7333333333333,7,6.33333333333333,3.66666666666667,4.46666666666667,12.2666666666667,12.6,17.2666666666667,20.8666666666667,0.600733333333333,0.536466666666667,117.793333333333,107.906666666667,111.72,113.973333333333,0.8,0.266666666666667,0,0,"CLENYK0411",1579.72798851697,1350.31246899895
"567","Home",109.6,102.666666666667,43.2666666666667,39.2,90.2,86.4666666666667,9.26666666666667,7.86666666666667,25.7333333333333,23.2666666666667,13.8,16.4,9.2,10.8666666666667,37.2666666666667,33.2,27.4666666666667,22.5333333333333,8.86666666666667,8.33333333333333,6.33333333333333,5.93333333333333,12.9333333333333,11.0666666666667,17.4666666666667,17.7333333333333,0.560866666666667,0.535466666666667,109.293333333333,109.42,105.42,103.533333333333,0.6,0.6,0,0,"NOPSAS0411",1574.81638792092,1593.64541814519
"568","Home",110.4,101.466666666667,39.6,38.7333333333333,87.4,85.8666666666667,11.1333333333333,9.73333333333333,31.0666666666667,26.5333333333333,20.0666666666667,14.2666666666667,11.6666666666667,10.4,32.9333333333333,29.8666666666667,21.2,22.7333333333333,9.46666666666667,7.6,5.26666666666667,4.53333333333333,13.5333333333333,14.3333333333333,20.2,21.2666666666667,0.5568,0.537666666666667,112.72,106.32,106.893333333333,116.06,0.666666666666667,0.266666666666667,0,0,"OKCMEM0411",1617.72818762122,1323.40089959657
"569","Home",95.8666666666667,104.2,36.8666666666667,39.5333333333333,88.4,83.8666666666667,9.06666666666667,9.93333333333333,29.2,25.6,13.0666666666667,15.2,9.66666666666667,9.46666666666667,34.0666666666667,33.2,23.2666666666667,27.8666666666667,8.46666666666667,7.53333333333333,5,4.06666666666667,12.9333333333333,14.5333333333333,16.8666666666667,19.1333333333333,0.4984,0.565133333333333,99.1133333333333,108.64,107.473333333333,111.94,0.266666666666667,0.333333333333333,0,1,"ORLWAS0411",1322.97363220053,1495.11582734771
"570","Away",107.6,104.733333333333,41.2,37.8,87,84.6666666666667,7.8,10.6666666666667,21,31.8,17.4,18.4666666666667,11.7333333333333,9.86666666666667,31.8666666666667,36,21.6666666666667,22.1333333333333,6.73333333333333,6.66666666666667,3.73333333333333,4.4,13.4666666666667,14.7333333333333,19.3333333333333,19.6666666666667,0.552266666666667,0.546866666666667,111.266666666667,106.373333333333,116.58,109.493333333333,0.333333333333333,0.266666666666667,0,1,"LACLAL0411",1528.44800600946,1463.98524984013
"571","Home",105.8,110,40,40.5333333333333,89.1333333333333,83.8,9.93333333333333,11.2,31.9333333333333,31.4666666666667,15.8666666666667,17.7333333333333,11.3333333333333,10.4666666666667,35.3333333333333,36.5333333333333,21.1333333333333,26.5333333333333,7.33333333333333,8.4,5.33333333333333,6.33333333333333,11.8666666666667,14.6666666666667,19.2,19.5333333333333,0.542,0.585133333333333,110.626666666667,114.28,107.833333333333,98.0066666666667,0.533333333333333,0.866666666666667,0,1,"PORUTA0411",1604.85272262861,1695.74950484229
"572","Home",95.6666666666667,108.4,37.6,38.2666666666667,86.9333333333333,83.9333333333333,9.13333333333333,15.2,25.7333333333333,42.2666666666667,11.3333333333333,16.6666666666667,9.73333333333333,8.33333333333333,32.8666666666667,35.4,22.8,21.7333333333333,6.53333333333333,7.73333333333333,4.2,5.53333333333333,12.4,12.1333333333333,21.5333333333333,18.1333333333333,0.5124,0.579066666666667,102.446666666667,113.62,107.886666666667,104.2,0.333333333333333,0.866666666666667,0,1,"SACHOU0411",1331.35589627517,1761.16581305162
"573","Away",104.2,102.2,39,36.1333333333333,85.7333333333333,84.4666666666667,11.0666666666667,10.6666666666667,27.6,30.2,15.1333333333333,19.2666666666667,9.06666666666667,10.7333333333333,32.7333333333333,37.2666666666667,22.9333333333333,21.4,9.26666666666667,8.2,4.06666666666667,3.93333333333333,16,13.6,21.6666666666667,19.5333333333333,0.556066666666667,0.5382,105.633333333333,106.873333333333,109.606666666667,97.8,0.2,0.933333333333333,0,0,"ATLBOS1118",1432.8816399414,1619.64055728802
"574","Home",109,99.4,40.6,36.1333333333333,87.9333333333333,82.4,11.6,10.8666666666667,31.0666666666667,30.0666666666667,16.2,16.2666666666667,10.7333333333333,9.2,36.8666666666667,31.0666666666667,26.4666666666667,20.0666666666667,8.33333333333333,9.46666666666667,4.93333333333333,6,17.2666666666667,15.8666666666667,24.8666666666667,21.3333333333333,0.557533333333333,0.547066666666667,106.48,104.233333333333,107.713333333333,105.7,0.533333333333333,0.333333333333333,0,0,"PHIUTA1120",1455.27236602602,1521.98637705298
"575","Away",92.4,109.333333333333,35.6666666666667,40.7333333333333,85.1333333333333,87.2666666666667,7.73333333333333,10.6666666666667,21.2666666666667,28.8,13.3333333333333,17.2,9.46666666666667,12.1333333333333,29.8666666666667,33.4,19.6666666666667,24.4,8.26666666666667,8.46666666666667,3.66666666666667,4.73333333333333,13.4666666666667,15.4,20.0666666666667,18.1333333333333,0.496466666666667,0.559333333333333,97.98,110.933333333333,111.853333333333,108.253333333333,0.266666666666667,0.6,0,1,"SACDEN1120",1363.34787895719,1534.44756088726
