"","win_status","h_avg_points","a_avg_points","h_avg_fg","a_avg_fg","h_avg_fga","a_avg_fga","h_avg_3p","a_avg_3p","h_avg_3pa","a_avg_3pa","h_avg_ft","a_avg_ft","h_avg_orb","a_avg_orb","h_avg_drb","a_avg_drb","h_avg_ast","a_avg_ast","h_avg_stl","a_avg_stl","h_avg_blk","a_avg_blk","h_avg_tov","a_avg_tov","h_avg_pf","a_avg_pf","h_avg_tsp","a_avg_tsp","h_avg_ortg","a_avg_ortg","h_avg_drtg","a_avg_drtg","h_win_perc","a_win_perc","h_back","a_back","gameid_cr","home_elo","away_elo"
"1","Away",107.866666666667,108.133333333333,39.1333333333333,39.0666666666667,86.6,84.9333333333333,10.8,14.2666666666667,29.6666666666667,37.6,18.8,15.7333333333333,9.46666666666667,11.4666666666667,33.2666666666667,33,21.3333333333333,24.4,6.13333333333333,6.93333333333333,4.4,5,13.4666666666667,16.2,22.0666666666667,19.9333333333333,0.559733333333333,0.5756,109.78,112.973333333333,113.946666666667,108.66,0.466666666666667,0.666666666666667,0,0,"PORHOU1127",1522.20091191041,1567.46574076439
"2","Home",108.666666666667,101.333333333333,40.3333333333333,38,87.0666666666667,83.3333333333333,9.6,8.33333333333333,26.3333333333333,25.3333333333333,18.4,17,10.4666666666667,10.3333333333333,32.8666666666667,34.6666666666667,22.4666666666667,23.4666666666667,8.66666666666667,9.33333333333333,3.53333333333333,5.4,15.6,16.6666666666667,20.6666666666667,17.1333333333333,0.5606,0.538866666666667,108.646666666667,102.853333333333,112.76,100.113333333333,0.466666666666667,0.6,0,0,"LALATL1127",1403.95044609226,1545.97727178389
"3","Away",102.666666666667,104.4,39.6,39.4666666666667,88.6,86.4666666666667,8.73333333333333,8.73333333333333,24.9333333333333,25.2666666666667,14.7333333333333,16.7333333333333,11.8,10.2,33.1333333333333,34.2666666666667,21.8666666666667,21.6666666666667,7.26666666666667,7.26666666666667,5.13333333333333,5.26666666666667,13.6,14.6666666666667,21.8666666666667,20.4,0.5302,0.541066666666667,107.38,106.913333333333,110.48,105.34,0.466666666666667,0.533333333333333,0,0,"NYKOKC1128",1443.1222740476,1611.25369519279
"4","Away",103.4,96.2,37.6,35.6666666666667,83.4,78.7333333333333,8.66666666666667,9,24.2,26.2666666666667,19.5333333333333,15.8666666666667,11.5333333333333,7.86666666666667,30.2666666666667,36.2666666666667,21.6,18,8.46666666666667,6.13333333333333,4.86666666666667,5.06666666666667,14.6,12.0666666666667,21.6666666666667,20.2,0.546866666666667,0.546866666666667,108.526666666667,105.806666666667,108.766666666667,101.133333333333,0.333333333333333,0.533333333333333,0,0,"MINUTA1128",1430.96050015855,1557.4583037868
"5","Home",119.333333333333,100.666666666667,44,37.8,86.3333333333333,83.5333333333333,12.6666666666667,8.8,31.4666666666667,26.3333333333333,18.6666666666667,16.2666666666667,9.2,10.4,35.1333333333333,34,31.9333333333333,23.0666666666667,9.6,8.93333333333333,6.66666666666667,5.33333333333333,14.6,16.6666666666667,19.4666666666667,17.4666666666667,0.617666666666667,0.536333333333333,119.826666666667,102.56,103.413333333333,103,0.933333333333333,0.533333333333333,0,1,"GSWATL1128",1738.52274965845,1530.36833185418
"6","Away",104.666666666667,97.2,37.4,37.9333333333333,84.8666666666667,86.2666666666667,10.1333333333333,6.33333333333333,28.0666666666667,19.1333333333333,19.7333333333333,15,8.86666666666667,9.33333333333333,36.2,33,23.8,20,6.8,7,5.33333333333333,4.06666666666667,10.9333333333333,10.2666666666667,16.8666666666667,17.3333333333333,0.5432,0.513,108.173333333333,104.44,103.94,105.646666666667,0.666666666666667,0.4,1,0,"CHODET1129",1558.28767984235,1516.411526003
"7","Away",102.933333333333,92.5333333333333,37.2666666666667,35,80.2666666666667,84.2,8.86666666666667,8,22.4,25.5333333333333,19.5333333333333,14.5333333333333,8.2,10.6,32.8,34.7333333333333,22.9333333333333,20.4,7.33333333333333,5.93333333333333,6.06666666666667,6,11.9333333333333,13.4666666666667,17.6666666666667,18.0666666666667,0.568666666666667,0.4962,111.186666666667,98.9466666666667,106.773333333333,104.433333333333,0.8,0.4,0,0,"SASORL1129",1714.13207776058,1384.4330506958
"8","Home",98.6666666666667,109.733333333333,36.4,39.9333333333333,79.1333333333333,85.7333333333333,8.8,14.4,26.2,37.8666666666667,17.0666666666667,15.4666666666667,8.2,11.6,35.8666666666667,32.5333333333333,18.0666666666667,24.7333333333333,6.2,7,5.13333333333333,5.46666666666667,11.6666666666667,15.7333333333333,20.1333333333333,20,0.554866666666667,0.579266666666667,108.24,114.273333333333,101.933333333333,109.44,0.6,0.666666666666667,1,0,"UTAHOU1129",1566.26452474611,1584.46536110468
"9","Away",103.666666666667,97.8666666666667,38.1333333333333,38.2,86.4666666666667,86.4666666666667,11.2666666666667,6.6,31,20.1333333333333,16.1333333333333,14.8666666666667,9.86666666666667,9.26666666666667,32.9333333333333,32.8,23.8,20.1333333333333,6.86666666666667,7,4.26666666666667,4,11.7333333333333,10.3333333333333,21.3333333333333,17.5333333333333,0.5422,0.516933333333333,108.54,105.113333333333,107.366666666667,105.626666666667,0.6,0.4,0,1,"BOSDET1130",1547.96679523333,1544.6823449953
"10","Home",108.866666666667,95.9333333333333,39.4,34.6,84.6,80.6,8.93333333333333,7.86666666666667,23.5333333333333,24.5333333333333,21.1333333333333,18.8666666666667,10.9333333333333,9.4,30.8,32,19.2666666666667,19.2,9.13333333333333,7.4,5,5.66666666666667,11.2666666666667,13.3333333333333,21.6,23.8,0.568666666666667,0.527133333333333,115.686666666667,104.613333333333,111.213333333333,106.046666666667,0.6,0.533333333333333,0,0,"TORMEM1130",1611.23330242193,1489.15586890763
"11","Away",105.333333333333,108.2,39.3333333333333,40.6,88.1333333333333,87.4666666666667,7,9.6,20.9333333333333,25.6666666666667,19.6666666666667,17.4,13.6,10.6,35.2,33.7333333333333,21.0666666666667,23.2666666666667,7.6,8.13333333333333,5.26666666666667,3.73333333333333,12.2,14.3333333333333,16.9333333333333,19.9333333333333,0.5344,0.557733333333333,111.486666666667,109.493333333333,105.12,112.233333333333,0.6,0.533333333333333,0,1,"CHILAL1130",1550.06362606721,1409.54684804673
"12","Home",103.466666666667,89.6,36.8,33.2666666666667,84.1333333333333,80.9333333333333,10.2666666666667,8.66666666666667,28.3333333333333,27.4,19.6,14.4,8.46666666666667,8.93333333333333,35.8666666666667,30.6,23.4,17.7333333333333,6.93333333333333,7.4,5,3.73333333333333,11.1333333333333,11.9333333333333,16.4666666666667,18.6666666666667,0.5414,0.503933333333333,107.02,98.7133333333333,105.16,109.586666666667,0.6,0.133333333333333,0,1,"CHODAL1201",1530.01686085005,1424.62986428066
"13","Away",104.066666666667,104.533333333333,37.2,39.8,84.8666666666667,86,11.1333333333333,8.26666666666667,33.8,23.9333333333333,18.5333333333333,16.6666666666667,8.8,10.3333333333333,34.2666666666667,33.8666666666667,20.5333333333333,25.1333333333333,7.93333333333333,8.86666666666667,4.26666666666667,5.26666666666667,16.7333333333333,13.3333333333333,20,21.2,0.5494,0.549066666666667,102.66,108.613333333333,112.1,107.466666666667,0.266666666666667,0.533333333333333,0,0,"BRKMIL1201",1326.66801566006,1455.06681656979
