"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"1",2018,10,16," BOS"," PHI",105,87," BOS",18,"Home",42,34,97,87,11,5,37,26,10,14,14,23,12,6,43,41,55,47,21,18,7,8,5,5,14,16,20,20,0.509,0.448,0.49,0.42,100.7,83.4,83.4,100.7
"2",2018,10,17," CHO"," MIL",112,113," MIL",1,"Away",41,42,92,85,16,14,38,34,14,15,22,20,9,11,32,46,41,57,21,26,8,5,9,4,11,21,19,25,0.551,0.602,0.533,0.576,109.2,110.2,110.2,109.2
"3",2018,10,17," DET"," BRK",103,100," DET",3,"Home",39,40,92,82,6,5,24,27,19,15,22,22,14,5,32,34,46,39,21,28,5,9,5,5,14,17,20,23,0.506,0.545,0.457,0.518,103,100,100,103
"4",2018,10,17," ORL"," MIA",104,101," ORL",3,"Home",39,38,94,97,7,9,25,33,19,16,31,22,14,14,37,38,51,52,20,16,7,4,7,5,12,16,25,28,0.483,0.473,0.452,0.438,100.5,97.6,97.6,100.5
"5",2018,10,17," NYK"," ATL",126,107," NYK",19,"Home",45,41,99,90,12,10,33,36,24,15,31,18,10,7,36,38,46,45,21,19,12,7,6,3,15,24,23,30,0.559,0.546,0.515,0.511,111,94.3,94.3,111
"6",2018,10,17," TOR"," CLE",116,104," TOR",12,"Home",45,34,92,85,14,7,33,19,12,29,20,39,8,14,35,35,43,49,21,17,6,4,7,0,9,16,29,25,0.575,0.509,0.565,0.441,115.6,103.7,103.7,115.6
"7",2018,10,17," HOU"," NOP",112,131," NOP",19,"Away",39,52,92,98,16,10,48,25,18,17,24,22,8,14,29,40,37,54,21,36,8,8,7,3,11,12,22,25,0.546,0.608,0.511,0.582,108.8,127.2,127.2,108.8
"8",2018,10,17," SAS"," MIN",112,108," SAS",4,"Home",40,39,93,91,11,6,25,19,21,24,29,27,19,14,33,32,52,46,22,20,3,9,4,2,12,11,22,27,0.53,0.525,0.489,0.462,116.8,112.7,112.7,116.8
"9",2018,10,17," SAC"," UTA",117,123," UTA",6,"Away",49,41,95,79,7,13,19,27,12,28,18,38,5,5,32,39,37,44,17,21,8,8,3,4,9,17,27,19,0.568,0.642,0.553,0.601,110.7,116.4,116.4,110.7
"10",2018,10,17," PHO"," DAL",121,100," PHO",21,"Home",44,38,81,88,19,10,34,33,14,14,16,20,6,10,38,28,44,38,35,28,5,7,2,5,11,9,22,16,0.687,0.517,0.66,0.489,130.6,108,108,130.6
"11",2018,10,18," PHI"," CHI",127,108," PHI",19,"Home",44,44,93,101,12,11,36,33,27,9,30,12,11,5,44,34,55,39,30,28,10,4,8,6,13,12,17,23,0.598,0.508,0.538,0.49,117.2,99.6,99.6,117.2
"12",2018,10,18," WAS"," MIA",112,113," MIA",1,"Away",38,38,81,97,7,12,26,35,29,25,39,34,7,22,33,33,40,55,19,25,7,6,15,5,14,16,31,26,0.57,0.505,0.512,0.454,109.9,110.8,110.8,109.9
"13",2018,10,18," POR"," LAL",128,119," POR",9,"Home",44,45,100,93,13,7,37,30,27,22,29,29,14,8,40,38,54,46,21,23,9,10,10,6,16,15,26,26,0.568,0.563,0.505,0.522,115.1,107,107,115.1
"14",2018,10,19," BRK"," NYK",107,105," BRK",2,"Home",37,39,75,97,12,9,30,28,21,18,24,20,12,12,43,24,55,36,22,14,2,10,6,1,22,3,23,19,0.625,0.496,0.573,0.448,114.1,112,112,114.1
"15",2018,10,19," MEM"," ATL",131,117," MEM",14,"Home",44,41,81,83,13,14,26,30,30,21,43,36,7,11,34,29,41,40,32,27,9,9,4,5,16,19,29,31,0.656,0.592,0.623,0.578,123.6,110.4,110.4,123.6
"16",2018,10,19," MIN"," CLE",131,123," MIN",8,"Home",44,45,87,93,10,8,25,23,33,25,35,29,9,13,31,30,40,43,28,26,9,5,7,2,13,14,21,24,0.64,0.582,0.563,0.527,126.7,119,119,126.7
"17",2018,10,19," NOP"," SAC",149,129," NOP",20,"Home",56,50,95,96,16,10,31,25,21,19,33,26,12,9,40,30,52,39,35,24,6,6,4,2,16,13,25,26,0.68,0.6,0.674,0.573,133.9,115.9,115.9,133.9
"18",2018,10,19," MIL"," IND",118,101," MIL",17,"Home",44,38,93,87,17,6,46,18,13,19,21,27,11,9,39,32,50,41,27,14,9,7,8,3,17,17,26,25,0.577,0.511,0.565,0.471,112.4,96.2,96.2,112.4
"19",2018,10,19," LAC"," OKC",108,92," LAC",16,"Home",35,34,81,95,11,7,26,33,27,17,36,23,10,15,38,37,48,52,21,18,3,5,3,4,14,12,24,29,0.558,0.438,0.5,0.395,109.8,93.6,93.6,109.8
"20",2018,10,20," WAS"," TOR",113,117," TOR",4,"Away",37,39,89,88,13,10,39,29,26,29,32,36,9,14,28,38,37,52,20,21,11,5,9,5,11,17,27,29,0.548,0.563,0.489,0.5,110.7,114.7,114.7,110.7
"21",2018,10,20," NYK"," BOS",101,103," BOS",2,"Away",36,33,87,82,12,9,35,25,17,28,27,33,11,11,35,36,46,47,23,21,8,8,1,2,16,15,25,26,0.511,0.534,0.483,0.457,101.7,103.7,103.7,101.7
"22",2018,10,20," DAL"," MIN",140,136," DAL",4,"Home",49,44,98,84,17,14,50,27,25,34,34,40,15,6,27,27,42,33,29,23,8,10,8,3,16,17,28,30,0.62,0.669,0.587,0.607,128.4,124.7,124.7,128.4
"23",2018,10,20," DEN"," PHO",119,91," DEN",28,"Home",43,29,85,77,9,11,28,39,24,22,29,35,9,10,45,30,54,40,28,20,12,6,6,4,18,19,31,26,0.609,0.492,0.559,0.448,116.2,88.8,88.8,116.2
"24",2018,10,20," POR"," SAS",121,108," POR",13,"Home",45,42,84,100,15,13,32,30,16,11,19,14,8,15,38,25,46,40,24,29,5,5,3,4,12,6,14,17,0.655,0.509,0.625,0.485,129.1,115.2,115.2,129.1
"25",2018,10,20," LAL"," HOU",115,124," HOU",9,"Away",48,44,100,96,8,16,32,42,11,20,18,30,9,13,35,41,44,54,28,22,8,7,10,4,10,16,21,21,0.533,0.568,0.52,0.542,106.4,114.8,114.8,106.4
"26",2018,10,21," OKC"," SAC",120,131," SAC",11,"Away",46,50,104,91,9,10,39,22,19,21,30,28,18,12,33,34,51,46,23,28,11,11,9,7,18,17,29,26,0.512,0.634,0.486,0.604,109.1,119.1,119.1,109.1
"27",2018,10,21," LAC"," HOU",115,112," LAC",3,"Home",42,43,89,89,5,15,25,35,26,11,26,15,12,6,37,29,49,35,22,28,8,6,7,6,13,12,16,23,0.572,0.586,0.5,0.567,116.3,113.2,113.2,116.3
"28",2018,10,22," BOS"," ORL",90,93," ORL",3,"Away",37,38,91,93,9,10,40,35,7,7,9,10,9,8,42,41,51,49,21,28,6,6,3,2,12,9,15,15,0.474,0.477,0.456,0.462,93.4,96.5,96.5,93.4
"29",2018,10,22," TOR"," CHO",127,106," TOR",21,"Home",50,41,87,97,15,9,39,28,12,15,14,18,5,14,41,27,46,41,36,21,10,5,8,5,13,12,21,14,0.682,0.505,0.661,0.469,126.8,105.8,105.8,126.8
"30",2018,10,22," MIL"," NYK",124,113," MIL",11,"Home",45,45,96,99,17,10,40,29,17,13,24,15,19,11,36,32,55,43,27,22,5,6,9,2,14,11,18,21,0.582,0.535,0.557,0.505,122.9,112,112,122.9
"31",2018,10,22," MIN"," IND",101,91," MIN",10,"Home",36,36,85,92,7,8,33,26,22,11,24,16,8,12,39,33,47,45,24,18,9,6,12,6,15,15,17,24,0.528,0.459,0.465,0.435,101.7,91.6,91.6,101.7
"32",2018,10,22," DAL"," CHI",115,109," DAL",6,"Home",40,41,93,80,15,13,47,23,20,14,21,21,13,7,28,27,41,34,25,18,8,6,2,4,15,19,16,29,0.562,0.611,0.511,0.594,116.7,110.6,110.6,116.7
"33",2018,10,22," UTA"," MEM",84,92," MEM",8,"Away",29,31,82,84,8,9,32,28,18,21,23,26,10,7,40,36,50,43,18,18,6,10,6,2,15,10,22,22,0.456,0.482,0.402,0.423,88.5,96.9,96.9,88.5
"34",2018,10,22," GSW"," PHO",123,103," GSW",20,"Home",45,39,88,86,14,9,37,34,19,16,26,18,7,12,33,33,40,45,35,24,12,8,4,1,14,21,24,21,0.618,0.548,0.591,0.506,119.9,100.4,100.4,119.9
"35",2018,10,23," NOP"," LAC",116,109," NOP",7,"Home",40,41,93,87,6,5,24,20,30,22,40,27,12,9,36,38,48,47,22,18,12,5,8,4,8,16,24,26,0.524,0.551,0.462,0.5,111.9,105.1,105.1,111.9
"36",2018,10,23," DEN"," SAC",126,112," DEN",14,"Home",51,45,99,86,11,13,30,31,13,9,15,20,15,9,34,30,49,39,31,29,11,7,3,6,12,16,22,17,0.597,0.591,0.571,0.599,125.6,111.6,111.6,125.6
"37",2018,10,24," ATL"," DAL",111,104," ATL",7,"Home",37,38,91,91,15,12,38,40,22,16,31,26,10,9,44,43,54,52,28,25,6,7,6,9,15,17,26,27,0.53,0.508,0.489,0.484,102.7,96.2,96.2,102.7
"38",2018,10,24," CHI"," CHO",112,110," CHI",2,"Home",37,37,77,85,10,10,29,35,28,26,35,29,9,8,36,28,45,36,21,23,4,5,5,5,14,6,24,20,0.606,0.563,0.545,0.494,119.2,117.1,117.1,119.2
"39",2018,10,24," MIL"," PHI",123,108," MIL",15,"Home",41,38,100,92,13,11,43,34,28,21,30,30,9,8,42,42,51,50,24,29,7,4,10,5,11,16,27,27,0.543,0.513,0.475,0.473,110.5,97,97,110.5
"40",2018,10,24," SAC"," MEM",97,92," SAC",5,"Home",35,36,83,94,6,10,18,37,21,10,33,13,15,13,42,36,57,49,19,18,7,7,5,6,14,15,15,25,0.497,0.461,0.458,0.436,99.7,94.5,94.5,99.7
"41",2018,10,24," GSW"," WAS",144,122," GSW",22,"Home",53,42,92,93,15,12,33,42,23,26,25,28,10,7,38,27,48,34,37,22,6,7,5,1,15,12,22,24,0.699,0.579,0.658,0.516,134.9,114.3,114.3,134.9
"42",2018,10,25," DET"," CLE",110,103," DET",7,"Home",41,41,78,89,11,8,28,24,17,13,29,15,13,7,35,23,48,30,21,18,4,11,5,1,20,9,21,25,0.606,0.539,0.596,0.506,115.3,108,108,115.3
"43",2018,10,25," ORL"," POR",114,128," POR",14,"Away",43,48,86,87,12,11,30,27,16,21,20,26,11,12,29,32,40,44,29,24,5,6,7,6,14,10,21,22,0.601,0.65,0.57,0.615,119.1,133.7,133.7,119.1
"44",2018,10,25," LAL"," DEN",121,114," LAL",7,"Home",46,46,92,92,10,6,29,23,19,16,23,20,9,10,33,34,42,44,27,22,13,8,3,5,13,19,19,22,0.592,0.565,0.554,0.533,114.4,107.8,107.8,114.4
