"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"1",2017,10,17," CLE"," BOS",102,99," CLE",3,"Home",38,36,83,88,5,8,22,32,21,19,25,25,9,9,41,37,50,46,19,24,3,11,4,4,17,10,25,24,0.543,0.5,0.488,0.455,102.7,99.7,99.7,102.7
"2",2017,10,17," GSW"," HOU",121,122," HOU",1,"Away",43,47,80,97,16,15,30,41,19,13,21,19,6,10,35,33,41,43,34,28,5,9,9,5,17,12,25,16,0.678,0.579,0.638,0.562,118.6,119.6,119.6,118.6
"3",2017,10,18," DET"," CHO",102,90," DET",12,"Home",41,29,96,73,9,9,26,30,11,23,12,29,9,3,38,44,47,47,24,16,14,4,3,3,8,17,21,15,0.504,0.525,0.474,0.459,103.6,91.4,91.4,103.6
"4",2017,10,18," IND"," BRK",140,131," IND",9,"Home",53,45,102,94,9,12,34,30,25,29,32,32,14,11,33,32,47,43,29,22,12,7,9,2,14,20,25,25,0.603,0.606,0.564,0.543,123.6,115.7,115.7,123.6
"5",2017,10,18," ORL"," MIA",116,109," ORL",7,"Home",43,44,90,101,8,8,21,30,22,13,29,17,11,11,39,33,50,44,22,27,8,6,9,4,14,13,18,20,0.564,0.502,0.522,0.475,110.3,103.6,103.6,110.3
"6",2017,10,18," WAS"," PHI",120,115," WAS",5,"Home",42,43,97,93,6,15,22,35,30,14,38,19,16,11,36,37,52,48,21,25,8,6,10,6,9,17,20,28,0.528,0.567,0.464,0.543,115.1,110.3,110.3,115.1
"7",2017,10,18," BOS"," MIL",100,108," MIL",8,"Away",39,38,91,76,11,7,28,21,11,25,21,30,11,6,32,39,43,45,23,19,12,6,2,4,12,15,27,22,0.499,0.605,0.489,0.546,102.2,110.4,110.4,102.2
"8",2017,10,18," MEM"," NOP",103,91," MEM",12,"Home",39,30,92,79,9,7,29,25,16,24,28,29,15,16,30,35,45,51,19,15,9,4,8,12,11,17,29,31,0.494,0.496,0.473,0.424,110.4,97.6,97.6,110.4
"9",2017,10,18," UTA"," DEN",106,96," UTA",10,"Home",41,36,81,77,9,13,24,27,15,11,16,12,6,7,30,31,36,38,28,21,9,4,5,3,15,20,18,18,0.602,0.583,0.562,0.552,112.2,101.6,101.6,112.2
"10",2017,10,18," SAS"," MIN",107,99," SAS",8,"Home",41,37,89,85,8,8,21,19,17,17,19,23,12,11,38,31,50,42,22,23,8,7,11,4,11,13,18,16,0.55,0.52,0.506,0.482,113.3,104.8,104.8,113.3
"11",2017,10,18," PHO"," POR",76,124," POR",48,"Away",28,44,89,90,7,14,27,24,13,22,18,28,10,15,23,42,33,57,10,22,9,8,8,7,16,16,22,20,0.392,0.606,0.354,0.567,77,125.6,125.6,77
"12",2017,10,19," OKC"," NYK",105,84," OKC",21,"Home",39,32,90,79,11,7,38,24,16,13,22,19,13,11,28,30,41,41,26,19,14,8,7,4,18,25,22,23,0.527,0.481,0.494,0.449,106.2,85,85,106.2
"13",2017,10,20," IND"," POR",96,114," POR",18,"Away",35,46,78,95,4,9,18,19,22,13,33,17,6,11,33,40,39,51,15,19,1,5,4,6,12,9,17,26,0.519,0.556,0.474,0.532,98.5,117,117,98.5
"14",2017,10,20," MIL"," CLE",97,116," CLE",19,"Away",38,44,82,81,11,11,35,26,10,17,12,17,8,9,22,35,30,44,23,25,9,8,2,3,14,17,17,11,0.556,0.656,0.53,0.611,104.7,125.2,125.2,104.7
"15",2017,10,20," PHI"," BOS",92,102," BOS",10,"Away",35,35,92,84,10,10,32,29,12,22,16,32,14,14,33,41,47,55,20,16,7,4,4,5,16,19,30,24,0.464,0.52,0.435,0.476,92.4,102.5,102.5,92.4
"16",2017,10,20," WAS"," DET",115,111," WAS",4,"Home",40,43,75,87,6,10,17,23,29,15,35,20,7,10,30,23,37,33,25,19,12,12,7,1,16,19,18,32,0.636,0.579,0.573,0.552,115.9,111.8,111.8,115.9
"17",2017,10,20," BRK"," ORL",126,121," BRK",5,"Home",46,45,92,89,9,18,27,33,25,13,35,15,15,9,33,31,48,40,22,30,13,9,6,3,18,22,17,27,0.587,0.633,0.549,0.607,117.3,112.6,112.6,117.3
"18",2017,10,20," MIN"," UTA",100,97," MIN",3,"Home",36,37,81,77,7,9,22,22,21,14,26,17,10,7,34,31,44,38,17,23,11,10,2,8,15,19,17,21,0.541,0.574,0.488,0.539,105.2,102,102,105.2
"19",2017,10,20," DAL"," SAC",88,93," SAC",5,"Away",31,37,75,87,11,10,33,23,15,9,21,13,7,16,29,41,36,57,19,20,8,8,7,3,12,14,13,18,0.522,0.502,0.487,0.483,100.2,105.9,105.9,100.2
"20",2017,10,20," PHO"," LAL",130,132," LAL",2,"Away",45,48,92,93,14,12,29,26,26,24,38,33,10,5,40,37,50,42,17,22,8,8,9,3,19,18,25,31,0.598,0.614,0.565,0.581,110.9,112.7,112.7,110.9
"21",2017,10,21," TOR"," PHI",128,94," TOR",34,"Home",42,32,89,82,13,8,44,24,31,22,37,36,8,8,43,33,51,41,23,18,5,5,10,4,13,20,29,26,0.608,0.48,0.545,0.439,119.1,87.4,87.4,119.1
"22",2017,10,21," HOU"," DAL",107,91," HOU",16,"Home",39,31,82,84,11,13,47,31,18,16,22,21,8,8,46,33,54,41,17,19,12,6,4,0,13,14,24,19,0.584,0.488,0.543,0.446,111,94.4,94.4,111
"23",2017,10,21," MEM"," GSW",111,101," MEM",10,"Home",36,33,77,84,10,12,27,38,29,23,37,27,6,12,34,34,40,46,20,20,8,10,4,7,14,17,25,28,0.595,0.527,0.532,0.464,112.8,102.7,102.7,112.8
"24",2017,10,21," MIA"," IND",112,108," MIA",4,"Home",45,43,87,96,14,7,34,19,8,15,14,21,6,13,39,32,45,45,24,18,6,9,11,4,14,10,19,18,0.601,0.513,0.598,0.484,112.2,108.1,108.1,112.2
"25",2017,10,21," NYK"," DET",107,111," DET",4,"Away",37,44,81,91,8,9,30,30,25,14,31,15,12,15,27,28,39,43,20,21,6,5,2,2,12,12,21,25,0.565,0.569,0.506,0.533,117.4,121.8,121.8,117.4
"26",2017,10,21," MIL"," POR",113,110," MIL",3,"Home",42,34,80,81,7,11,18,28,22,31,30,35,7,13,28,29,35,42,22,18,9,10,8,6,14,16,23,22,0.606,0.571,0.569,0.488,117,113.9,113.9,117
"27",2017,10,21," UTA"," OKC",96,87," UTA",9,"Home",38,32,77,78,9,11,29,33,11,12,14,19,7,8,34,30,41,38,22,15,11,14,4,4,18,17,21,16,0.577,0.504,0.552,0.481,103.3,93.6,93.6,103.3
"28",2017,10,22," BRK"," ATL",116,104," BRK",12,"Home",41,32,87,94,11,7,27,27,23,33,34,36,13,16,38,32,51,48,27,21,12,6,8,2,18,16,27,25,0.569,0.473,0.534,0.378,110.9,99.5,99.5,110.9
"29",2017,10,22," OKC"," MIN",113,115," MIN",2,"Away",46,43,96,86,11,10,31,25,10,19,16,23,9,10,27,35,36,45,26,25,9,5,6,1,11,17,22,17,0.548,0.598,0.536,0.558,111.8,113.7,113.7,111.8
"30",2017,10,22," LAL"," NOP",112,119," NOP",7,"Away",44,47,90,83,9,10,27,32,15,15,20,21,9,6,29,36,38,42,27,26,7,14,6,5,17,18,24,20,0.567,0.645,0.539,0.627,107.7,114.4,114.4,107.7
"31",2017,10,23," DET"," PHI",86,97," PHI",11,"Away",33,35,85,75,6,9,30,24,14,18,19,24,9,8,30,41,39,49,14,25,5,11,2,0,14,21,21,24,0.461,0.567,0.424,0.527,89,100.4,100.4,89
"32",2017,10,23," MIA"," ATL",104,93," MIA",11,"Home",39,36,85,76,14,7,37,17,12,14,18,18,10,6,31,35,41,41,21,14,12,9,6,1,19,20,19,17,0.56,0.554,0.541,0.52,105.8,94.6,94.6,105.8
"33",2017,10,23," HOU"," MEM",90,98," MEM",8,"Away",32,29,77,68,9,6,38,19,17,34,23,37,9,3,30,35,39,38,25,16,5,5,2,2,16,12,31,21,0.517,0.581,0.474,0.471,98.2,106.9,106.9,98.2
"34",2017,10,23," MIL"," CHO",103,94," MIL",9,"Home",40,33,85,78,9,7,26,26,14,21,16,36,5,10,37,38,42,48,24,17,8,3,4,5,13,14,27,21,0.56,0.501,0.524,0.468,105.7,96.4,96.4,105.7
"35",2017,10,23," DAL"," GSW",103,133," GSW",30,"Away",38,48,96,86,9,15,29,39,18,22,30,26,14,10,28,40,42,50,21,33,11,6,0,8,12,16,20,23,0.472,0.682,0.443,0.645,100.2,129.4,129.4,100.2
"36",2017,10,23," DEN"," WAS",104,109," WAS",5,"Away",39,37,80,84,8,9,23,30,18,26,23,28,9,10,35,28,44,38,27,24,5,13,2,3,23,15,22,24,0.577,0.566,0.538,0.494,103.7,108.7,108.7,103.7
"37",2017,10,24," CLE"," CHI",119,112," CLE",7,"Home",43,42,83,88,16,17,38,33,17,11,22,13,8,8,31,31,39,39,28,28,5,3,3,3,9,9,14,20,0.642,0.598,0.614,0.574,129.3,121.7,121.7,129.3
"38",2017,10,24," ORL"," BRK",125,121," ORL",4,"Home",41,40,83,96,8,11,23,35,35,30,40,34,6,14,38,35,44,49,20,21,8,8,5,4,11,15,23,27,0.621,0.545,0.542,0.474,118,114.2,114.2,118
"39",2017,10,24," BOS"," NYK",110,89," BOS",21,"Home",37,36,75,85,14,1,29,12,22,16,27,25,5,11,36,32,41,43,26,20,11,8,7,2,12,14,24,17,0.633,0.464,0.587,0.429,116.4,94.2,94.2,116.4
"40",2017,10,24," MIN"," IND",107,130," IND",23,"Away",42,56,86,84,9,10,24,22,14,8,22,11,9,8,18,34,27,42,27,31,9,8,4,2,14,17,14,21,0.559,0.732,0.541,0.726,109.7,133.2,133.2,109.7
"41",2017,10,25," CHO"," DEN",110,93," CHO",17,"Home",38,38,81,100,13,8,31,31,21,9,26,15,10,18,40,33,50,51,17,18,5,6,5,1,14,13,16,23,0.595,0.436,0.549,0.42,113.9,96.3,96.3,113.9
"42",2017,10,25," DET"," MIN",122,101," DET",21,"Home",48,37,92,85,15,9,34,25,11,18,17,21,12,7,35,30,47,37,32,19,7,5,3,4,14,14,22,19,0.613,0.536,0.603,0.488,123.1,101.9,101.9,123.1
"43",2017,10,25," BRK"," CLE",112,107," BRK",5,"Home",40,39,93,81,17,12,46,35,15,17,21,26,10,9,28,38,38,47,22,21,11,5,3,7,12,21,22,17,0.548,0.579,0.522,0.556,110.3,105.4,105.4,110.3
"44",2017,10,25," MIA"," SAS",100,117," SAS",17,"Away",37,42,80,76,9,10,26,17,17,23,18,30,4,8,28,36,32,44,19,18,6,6,2,3,9,13,25,20,0.569,0.656,0.519,0.618,108.4,126.8,126.8,108.4
"45",2017,10,25," OKC"," IND",114,96," OKC",18,"Home",43,28,89,83,10,10,27,29,18,30,26,35,16,14,33,27,49,41,26,13,8,13,8,2,21,19,27,23,0.568,0.488,0.539,0.398,113.7,95.7,95.7,113.7
"46",2017,10,25," GSW"," TOR",117,112," GSW",5,"Home",43,43,77,94,12,8,26,34,19,18,22,19,6,17,31,25,37,42,32,30,10,10,7,6,17,16,15,16,0.675,0.547,0.636,0.5,120.6,115.4,115.4,120.6
"47",2017,10,26," MEM"," DAL",96,91," MEM",5,"Home",30,32,73,94,10,10,34,34,26,17,30,20,9,18,37,35,46,53,18,20,7,10,6,3,18,14,23,22,0.557,0.443,0.479,0.394,102.2,96.9,96.9,102.2
"48",2017,10,26," POR"," LAC",103,104," LAC",1,"Away",35,36,89,77,14,9,31,28,19,23,22,36,16,14,28,32,44,46,19,11,5,4,4,5,9,11,26,19,0.522,0.56,0.472,0.526,117.5,118.6,118.6,117.5
"49",2017,10,27," CHO"," HOU",93,109," HOU",16,"Away",33,38,88,85,11,22,29,57,16,11,28,13,11,7,33,44,44,51,16,21,6,5,5,6,9,15,14,26,0.464,0.601,0.438,0.576,96.5,113.1,113.1,96.5
"50",2017,10,27," ORL"," SAS",114,87," ORL",27,"Home",48,30,84,89,11,4,23,24,7,23,14,27,6,17,39,32,45,49,22,19,9,8,7,8,17,17,24,15,0.632,0.431,0.637,0.36,115.1,87.8,87.8,115.1
"51",2017,10,27," NYK"," BRK",107,86," NYK",21,"Home",44,30,98,75,9,11,27,30,10,15,17,21,19,5,36,30,55,35,19,18,7,5,6,1,11,16,19,20,0.507,0.51,0.495,0.473,114.5,92,92,114.5
"52",2017,10,27," MIN"," OKC",119,116," MIN",3,"Home",42,43,86,86,8,8,22,28,27,22,35,25,17,11,27,24,44,35,23,19,5,8,7,9,15,14,21,29,0.587,0.598,0.535,0.547,123.9,120.7,120.7,123.9
