"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"25",2016,10,30," PHO"," GSW",100,106," GSW",6,"Away",37,35,90,83,8,8,23,29,18,28,25,33,11,7,39,36,50,43,19,27,10,6,6,5,11,15,26,23,0.495,0.543,0.456,0.47,99.4,105.4,105.4,99.4
"26",2016,10,30," OKC"," LAL",113,96," OKC",17,"Home",45,35,95,87,9,7,26,32,14,19,17,24,10,11,35,30,45,41,29,20,15,15,6,2,19,21,22,18,0.551,0.492,0.521,0.443,106.7,90.7,90.7,106.7
"27",2016,10,30," HOU"," DAL",93,92," HOU",1,"Home",34,32,81,86,11,11,31,31,14,17,21,20,9,13,38,30,47,43,16,17,5,8,4,3,17,9,21,17,0.515,0.485,0.488,0.436,101.6,100.5,100.5,101.6
"28",2016,10,31," ATL"," SAC",106,95," ATL",11,"Home",33,36,79,75,11,10,30,23,29,13,47,19,17,6,26,32,43,38,24,26,11,10,6,6,13,19,20,34,0.532,0.57,0.487,0.547,113.1,101.3,101.3,113.1
"29",2016,10,31," BRK"," CHI",88,118," CHI",30,"Away",33,45,96,89,5,11,31,27,17,17,21,18,16,13,29,45,45,58,14,26,12,9,3,9,15,19,15,22,0.418,0.609,0.37,0.567,87,116.6,116.6,87
"30",2016,10,31," TOR"," DEN",105,102," TOR",3,"Home",41,33,88,81,4,9,16,22,19,27,25,35,11,11,32,35,43,46,16,14,7,2,9,9,7,8,28,18,0.53,0.529,0.489,0.463,114.9,111.6,111.6,114.9
"31",2016,11,1," CLE"," HOU",128,120," CLE",8,"Home",43,43,83,90,16,17,32,44,26,17,31,25,12,11,34,21,46,32,22,30,4,5,2,2,11,7,21,25,0.662,0.594,0.614,0.572,138,129.3,129.3,138
"32",2016,11,1," IND"," LAL",115,108," IND",7,"Home",41,40,87,89,10,6,28,28,23,22,29,25,11,11,32,33,43,44,19,14,10,8,8,2,15,19,20,25,0.576,0.54,0.529,0.483,111.7,104.9,104.9,111.7
"33",2016,11,1," MIN"," MEM",116,80," MIN",36,"Home",43,27,78,75,12,4,20,24,18,22,23,29,10,8,40,24,50,32,29,10,10,17,5,4,21,20,22,22,0.658,0.456,0.628,0.387,118.8,82,82,118.8
"34",2016,11,1," NOP"," MIL",113,117," MIL",4,"Away",36,44,82,91,9,10,26,32,32,19,41,21,9,11,33,38,42,49,23,30,13,9,5,5,13,15,17,25,0.565,0.584,0.494,0.538,110.9,114.8,114.8,110.9
